# nextLevelClosed 13
# nextLevelOpen 12

# 5 6		# 6 5
# 7 8		# 8 7
# 9 10		# 10 9
# 26 27	# 27 26

# 11 0

# count 27

# width 16 
# height 16 

# textureMap 
62 39 49	115 62 57 	115 62 57 	24 20 37 	24 20 37 	115 62 57 	115 62 57 	115 62 57 	115 62 57 	115 62 57 	135 77 64 	24 20 37 	24 20 37 	47 31 44 	47 31 44 	47 31 44 
115 62 57	135 77 64	115 62 57 	115 62 57 	24 20 37 	47 31 44 	115 62 57 	115 62 57 	115 62 57 	115 62 57 	135 77 64 	78 45 51 	24 20 37 	24 20 37 	24 20 37 	62 39 49 
115 62 57 	115 62 57 	135 77 64 	115 62 57 	115 62 57 	24 20 37 	47 31 44 	115 62 57 	115 62 57 	115 62 57 	115 62 57 	78 45 51 	24 20 37 	24 20 37 	62 39 49 	115 62 57 
115 62 57 	115 62 57 	135 77 64 	135 77 64 	115 62 57 	24 20 37 	24 20 37 	47 31 44 	47 31 44 	47 31 44 	47 31 44 	78 45 51 	24 20 37 	62 39 49 	115 62 57 	115 62 57 
115 62 57 	115 62 57 	135 77 64 	78 45 51 	78 45 51 	24 20 37 	24 20 37 	24 20 37 	24 20 37 	24 20 37 	24 20 37 	24 20 37 	24 20 37 	62 39 49 	115 62 57 	115 62 57
115 62 57 	135 77 64 	78 45 51 	78 45 51 	24 20 37 	62 39 49 	62 39 49 	62 39 49 	62 39 49 	115 62 57 	115 62 57 	24 20 37 	24 20 37 	47 31 44 	115 62 57 	115 62 57
115 62 57 	78 45 51 	78 45 51 	24 20 37 	62 39 49 	62 39 49 	115 62 57 	115 62 57 	115 62 57 	135 77 64 	115 62 57 	115 62 57 	24 20 37 	47 31 44 	47 31 44 	115 62 57
78 45 51 	78 45 51 	24 20 37 	24 20 37 	62 39 49 	62 39 49 	115 62 57 	115 62 57 	115 62 57 	115 62 57 	135 77 64 	115 62 57 	115 62 57 	24 20 37 	47 31 44 	47 31 44 
24 20 37 	24 20 37 	24 20 37 	24 20 37 	78 45 51 	78 45 51 	115 62 57 	115 62 57 	115 62 57 	115 62 57 	115 62 57 	135 77 64 	115 62 57 	115 62 57 	24 20 37 	47 31 44 
62 39 49 	62 39 49 	24 20 37 	24 20 37 	78 45 51 	78 45 51 	115 62 57 	115 62 57 	115 62 57 	115 62 57 	115 62 57 	115 62 57 	135 77 64 	135 77 64 	115 62 57 	24 20 37 
115 62 57 	135 77 64 	62 39 49 	24 20 37 	47 31 44 	47 31 44 	115 62 57 	115 62 57 	115 62 57 	115 62 57 	115 62 57 	115 62 57 	135 77 64 	78 45 51 	78 45 51 	24 20 37 
